state_name,year,details,male,female,total
ANDHRA PRADESH,2001,Convicts Released - Released after completion of conviction,9716,447,10163
ANDHRA PRADESH,2001,Convicts Released - Premature release,232,1,233
ANDHRA PRADESH,2001,Convicts Released - Released on appeal,626,37,663
ANDHRA PRADESH,2001,Convicts Released - Released on bail,5656,260,5916
ANDHRA PRADESH,2001,Convicts Released - Pardons,42,10,52
ANDHRA PRADESH,2001,Convicts Released - Transferred to other States,0,0,0
ANDHRA PRADESH,2001,"Convicts Released - Other Releases (due to illness, transferred to Mental hospital)",116,0,116
ANDHRA PRADESH,2001,Total Convicts Released,16388,755,17143
ANDHRA PRADESH,2001,Under trials Released - Acquitted,7791,717,8508
ANDHRA PRADESH,2001,Under trials Released - Released on appeal,16,0,16
ANDHRA PRADESH,2001,Under trials Released - Released on bail,118487,14780,133267
ANDHRA PRADESH,2001,Under trials Released - Transferred to other States,0,0,0
ANDHRA PRADESH,2001,Under trials Released - Extradited,13,2,15
ANDHRA PRADESH,2001,Under trials Released - Other releases (transferred to Mental/Civil hospital),958,37,995
ANDHRA PRADESH,2001,Total Under trials Released,127265,15536,142801
ANDHRA PRADESH,2001,Detenus Released - Released on completion of detention period,0,0,0
ANDHRA PRADESH,2001,Detenus Released - Released before completion of detention period,2,0,2
ANDHRA PRADESH,2001,Detenus Released - Released on bail,1,0,1
ANDHRA PRADESH,2001,Detenus Released - Other releases (temporary transfer etc.),0,0,0
ANDHRA PRADESH,2001,Total Detenus Released,3,0,3
ANDHRA PRADESH,2002,Convicts Released - Released after completion of conviction,7562,316,7878
ANDHRA PRADESH,2002,Convicts Released - Premature release,223,0,223
ANDHRA PRADESH,2002,Convicts Released - Released on appeal,636,32,668
ANDHRA PRADESH,2002,Convicts Released - Released on bail,3522,178,3700
ANDHRA PRADESH,2002,Convicts Released - Pardons,131,0,131
ANDHRA PRADESH,2002,Convicts Released - Transferred to other States,47,3,50
ANDHRA PRADESH,2002,"Convicts Released - Other Releases (due to illness, transferred to Mental hospital)",21,0,21
ANDHRA PRADESH,2002,Total Convicts Released,12142,529,12671
ANDHRA PRADESH,2002,Under trials Released - Acquitted,7027,844,7871
ANDHRA PRADESH,2002,Under trials Released - Released on appeal,8729,2814,11543
ANDHRA PRADESH,2002,Under trials Released - Released on bail,118719,15428,134147
ANDHRA PRADESH,2002,Under trials Released - Transferred to other States,8,0,8
ANDHRA PRADESH,2002,Under trials Released - Extradited,7,0,7
ANDHRA PRADESH,2002,Under trials Released - Other releases (transferred to Mental/Civil hospital),170,18,188
ANDHRA PRADESH,2002,Total Under trials Released,134660,19104,153764
ANDHRA PRADESH,2002,Detenus Released - Released on completion of detention period,1,0,1
ANDHRA PRADESH,2002,Detenus Released - Released before completion of detention period,5,0,5
ANDHRA PRADESH,2002,Detenus Released - Released on bail,2,0,2
ANDHRA PRADESH,2002,Detenus Released - Other releases (temporary transfer etc.),0,0,0
ANDHRA PRADESH,2002,Total Detenus Released,8,0,8
ANDHRA PRADESH,2003,Convicts Released - Released after completion of conviction,6117,351,6468
ANDHRA PRADESH,2003,Convicts Released - Premature release,157,13,170
ANDHRA PRADESH,2003,Convicts Released - Released on appeal,697,48,745
ANDHRA PRADESH,2003,Convicts Released - Released on bail,6720,695,7415
ANDHRA PRADESH,2003,Convicts Released - Pardons,0,0,0
ANDHRA PRADESH,2003,Convicts Released - Transferred to other States,51,0,51
ANDHRA PRADESH,2003,"Convicts Released - Other Releases (due to illness, transferred to Mental hospital)",544,47,591
ANDHRA PRADESH,2003,Total Convicts Released,14286,1154,15440
ANDHRA PRADESH,2003,Under trials Released - Acquitted,6631,253,6884
ANDHRA PRADESH,2003,Under trials Released - Released on appeal,2269,294,2563
ANDHRA PRADESH,2003,Under trials Released - Released on bail,127246,17993,145239
ANDHRA PRADESH,2003,Under trials Released - Transferred to other States,1,0,1
ANDHRA PRADESH,2003,Under trials Released - Extradited,0,0,0
ANDHRA PRADESH,2003,Under trials Released - Other releases (transferred to Mental/Civil hospital),226,13,239
ANDHRA PRADESH,2003,Total Under trials Released,136373,18553,154926
ANDHRA PRADESH,2003,Detenus Released - Released on completion of detention period,9,0,9
ANDHRA PRADESH,2003,Detenus Released - Released before completion of detention period,15,0,15
ANDHRA PRADESH,2003,Detenus Released - Released on bail,2,0,2
ANDHRA PRADESH,2003,Detenus Released - Other releases (temporary transfer etc.),0,0,0
ANDHRA PRADESH,2003,Total Detenus Released,26,0,26
ANDHRA PRADESH,2004,Convicts Released - Released after completion of conviction,7548,422,7970
ANDHRA PRADESH,2004,Convicts Released - Premature release,918,0,918
ANDHRA PRADESH,2004,Convicts Released - Released on appeal,427,29,456
ANDHRA PRADESH,2004,Convicts Released - Released on bail,4853,365,5218
ANDHRA PRADESH,2004,Convicts Released - Pardons,22,0,22
ANDHRA PRADESH,2004,Convicts Released - Transferred to other States,1,0,1
ANDHRA PRADESH,2004,"Convicts Released - Other Releases (due to illness, transferred to Mental hospital)",188,6,194
ANDHRA PRADESH,2004,Total Convicts Released,13957,822,14779
ANDHRA PRADESH,2004,Under trials Released - Acquitted,6218,232,6450
ANDHRA PRADESH,2004,Under trials Released - Released on appeal,268,0,268
ANDHRA PRADESH,2004,Under trials Released - Released on bail,109785,18233,128018
ANDHRA PRADESH,2004,Under trials Released - Transferred to other States,23,0,23
ANDHRA PRADESH,2004,Under trials Released - Extradited,3,0,3
ANDHRA PRADESH,2004,Under trials Released - Other releases (transferred to Mental/Civil hospital),240,2,242
ANDHRA PRADESH,2004,Total Under trials Released,116537,18467,135004
ANDHRA PRADESH,2004,Detenus Released - Released on completion of detention period,6,1,7
ANDHRA PRADESH,2004,Detenus Released - Released before completion of detention period,82,0,82
ANDHRA PRADESH,2004,Detenus Released - Released on bail,21,2,23
ANDHRA PRADESH,2004,Detenus Released - Other releases (temporary transfer etc.),3,0,3
ANDHRA PRADESH,2004,Total Detenus Released,112,3,115
ANDHRA PRADESH,2005,Convicts Released - Released after completion of conviction,6863,233,7096
ANDHRA PRADESH,2005,Convicts Released - Premature release,0,0,0
ANDHRA PRADESH,2005,Convicts Released - Released on appeal,518,40,558
ANDHRA PRADESH,2005,Convicts Released - Released on bail,4006,271,4277
ANDHRA PRADESH,2005,Convicts Released - Pardons,1,0,1
ANDHRA PRADESH,2005,Convicts Released - Transferred to other States,2,0,2
ANDHRA PRADESH,2005,"Convicts Released - Other Releases (due to illness, transferred to Mental hospital)",204,5,209
ANDHRA PRADESH,2005,Total Convicts Released,11594,549,12143
ANDHRA PRADESH,2005,Under trials Released - Acquitted,5728,228,5956
ANDHRA PRADESH,2005,Under trials Released - Released on appeal,385,18,403
ANDHRA PRADESH,2005,Under trials Released - Released on bail,123487,18377,141864
ANDHRA PRADESH,2005,Under trials Released - Transferred to other States,0,0,0
ANDHRA PRADESH,2005,Under trials Released - Extradited,0,0,0
ANDHRA PRADESH,2005,Under trials Released - Other releases (transferred to Mental/Civil hospital),338,8,346
ANDHRA PRADESH,2005,Total Under trials Released,129938,18631,148569
ANDHRA PRADESH,2005,Detenus Released - Released on completion of detention period,0,0,0
ANDHRA PRADESH,2005,Detenus Released - Released before completion of detention period,13,4,17
ANDHRA PRADESH,2005,Detenus Released - Released on bail,4,0,4
ANDHRA PRADESH,2005,Detenus Released - Other releases (temporary transfer etc.),0,0,0
ANDHRA PRADESH,2005,Total Detenus Released,17,4,21
ANDHRA PRADESH,2006,Convicts Released - Released after completion of conviction,7101,156,7257
ANDHRA PRADESH,2006,Convicts Released - Premature release,0,0,0
ANDHRA PRADESH,2006,Convicts Released - Released on appeal,460,30,490
ANDHRA PRADESH,2006,Convicts Released - Released on bail,10361,157,10518
ANDHRA PRADESH,2006,Convicts Released - Pardons,35,102,137
ANDHRA PRADESH,2006,Convicts Released - Transferred to other States,1,0,1
ANDHRA PRADESH,2006,"Convicts Released - Other Releases (due to illness, transferred to Mental hospital)",2497,108,2605
ANDHRA PRADESH,2006,Total Convicts Released,20455,553,21008
ANDHRA PRADESH,2006,Under trials Released - Acquitted,7662,253,7915
ANDHRA PRADESH,2006,Under trials Released - Released on appeal,5506,0,5506
ANDHRA PRADESH,2006,Under trials Released - Released on bail,117406,12198,129604
ANDHRA PRADESH,2006,Under trials Released - Transferred to other States,0,0,0
ANDHRA PRADESH,2006,Under trials Released - Extradited,337,0,337
ANDHRA PRADESH,2006,Under trials Released - Other releases (transferred to Mental/Civil hospital),4340,55,4395
ANDHRA PRADESH,2006,Total Under trials Released,135251,12506,147757
ANDHRA PRADESH,2006,Detenus Released - Released on completion of detention period,29,1,30
ANDHRA PRADESH,2006,Detenus Released - Released before completion of detention period,15,0,15
ANDHRA PRADESH,2006,Detenus Released - Released on bail,0,0,0
ANDHRA PRADESH,2006,Detenus Released - Other releases (temporary transfer etc.),4,1,5
ANDHRA PRADESH,2006,Total Detenus Released,48,2,50
ANDHRA PRADESH,2007,Convicts Released - Released after completion of conviction,7205,217,7422
ANDHRA PRADESH,2007,Convicts Released - Premature release,0,0,0
ANDHRA PRADESH,2007,Convicts Released - Released on appeal,718,50,768
ANDHRA PRADESH,2007,Convicts Released - Released on bail,11012,454,11466
ANDHRA PRADESH,2007,Convicts Released - Pardons,37,0,37
ANDHRA PRADESH,2007,Convicts Released - Transferred to other States,0,0,0
ANDHRA PRADESH,2007,"Convicts Released - Other Releases (due to illness, transferred to Mental hospital)",684,57,741
ANDHRA PRADESH,2007,Total Convicts Released,19656,778,20434
ANDHRA PRADESH,2007,Under trials Released - Acquitted,4508,234,4742
ANDHRA PRADESH,2007,Under trials Released - Released on appeal,1445,124,1569
ANDHRA PRADESH,2007,Under trials Released - Released on bail,122854,18178,141032
ANDHRA PRADESH,2007,Under trials Released - Transferred to other States,0,0,0
ANDHRA PRADESH,2007,Under trials Released - Extradited,160,6,166
ANDHRA PRADESH,2007,Under trials Released - Other releases (transferred to Mental/Civil hospital),1559,42,1601
ANDHRA PRADESH,2007,Total Under trials Released,130526,18584,149110
ANDHRA PRADESH,2007,Detenus Released - Released on completion of detention period,0,0,0
ANDHRA PRADESH,2007,Detenus Released - Released before completion of detention period,4,0,4
ANDHRA PRADESH,2007,Detenus Released - Released on bail,21,0,21
ANDHRA PRADESH,2007,Detenus Released - Other releases (temporary transfer etc.),0,0,0
ANDHRA PRADESH,2007,Total Detenus Released,25,0,25
ANDHRA PRADESH,2008,Convicts Released - Released after completion of conviction,6342,116,6458
ANDHRA PRADESH,2008,Convicts Released - Premature release,82,20,102
ANDHRA PRADESH,2008,Convicts Released - Released on appeal,424,18,442
ANDHRA PRADESH,2008,Convicts Released - Released on bail,7312,792,8104
ANDHRA PRADESH,2008,Convicts Released - Pardons,0,0,0
ANDHRA PRADESH,2008,Convicts Released - Transferred to other States,0,0,0
ANDHRA PRADESH,2008,"Convicts Released - Other Releases (due to illness, transferred to Mental hospital)",173,68,241
ANDHRA PRADESH,2008,Total Convicts Released,14333,1014,15347
ANDHRA PRADESH,2008,Under trials Released - Acquitted,6307,248,6555
ANDHRA PRADESH,2008,Under trials Released - Released on appeal,0,0,0
ANDHRA PRADESH,2008,Under trials Released - Released on bail,121684,21833,143517
ANDHRA PRADESH,2008,Under trials Released - Transferred to other States,0,0,0
ANDHRA PRADESH,2008,Under trials Released - Extradited,80,3,83
ANDHRA PRADESH,2008,Under trials Released - Other releases (transferred to Mental/Civil hospital),802,42,844
ANDHRA PRADESH,2008,Total Under trials Released,128873,22126,150999
ANDHRA PRADESH,2008,Detenus Released - Released on completion of detention period,9,0,9
ANDHRA PRADESH,2008,Detenus Released - Released before completion of detention period,6,0,6
ANDHRA PRADESH,2008,Detenus Released - Released on bail,5,0,5
ANDHRA PRADESH,2008,Detenus Released - Other releases (temporary transfer etc.),1,0,1
ANDHRA PRADESH,2008,Total Detenus Released,21,0,21
ANDHRA PRADESH,2009,Convicts Released - Released after completion of conviction,5082,190,5272
ANDHRA PRADESH,2009,Convicts Released - Premature release,705,38,743
ANDHRA PRADESH,2009,Convicts Released - Released on appeal,347,18,365
ANDHRA PRADESH,2009,Convicts Released - Released on bail,2969,188,3157
ANDHRA PRADESH,2009,Convicts Released - Pardons,0,0,0
ANDHRA PRADESH,2009,Convicts Released - Transferred to other States,0,0,0
ANDHRA PRADESH,2009,"Convicts Released - Other Releases (due to illness, transferred to Mental hospital)",3655,294,3949
ANDHRA PRADESH,2009,Total Convicts Released,12758,728,13486
ANDHRA PRADESH,2009,Under trials Released - Acquitted,3773,221,3994
ANDHRA PRADESH,2009,Under trials Released - Released on appeal,27,0,27
